timestamp_us,adc,lo_status
82863928,8432,0
82873928,17488,0
82883927,8368,0
82893928,17504,0
82903928,8656,0
82913927,17792,0
82923928,8736,0
82933927,17680,0
82943927,8672,0
82953928,17632,0
82963928,8880,0
82973928,17744,0
82983928,8464,0
82993927,17568,0
83003928,8704,0
83013928,17600,0
83023928,8192,0
83033928,17456,0
83043928,8560,0
83053927,17904,0
83063927,8768,0
83073928,17776,0
83083927,9088,0
83093928,18480,0
83103928,9408,0
83113928,17920,0
83123928,8400,0
83133928,17088,0
83143927,8192,0
83153928,17856,0
83163927,8656,0
83173927,18272,0
83183928,9008,0
83193928,18352,0
83203928,7952,0
83213928,17440,0
83223927,12560,0
83233928,20144,0
83243928,10512,0
83253928,16048,0
83263927,6672,0
83273927,17680,0
83283928,8832,0
83293928,17584,0
83303927,8416,0
83313928,18272,0
83323928,8880,0
83333928,17936,0
83343928,8816,0
83353927,18096,0
83363928,8896,0
83373927,18080,0
83383928,8784,0
83393928,18240,0
83403927,8960,0
83413928,18480,0
83423928,9104,0
83433927,18752,0
83443927,9504,0
83453928,18832,0
83463928,9920,0
83473927,20096,0
83483928,10272,0
83493928,19168,0
83503928,9440,0
83513928,19232,0
83523928,9392,0
83533928,18384,0
83543928,8224,0
83553928,18240,0
83563928,8352,0
83573928,18384,0
83583927,8512,0
83593927,17808,0
83603928,8304,0
83613928,18384,0
83623928,8448,0
83633928,18368,0
83643928,8608,0
83653928,17904,0
83663928,8384,0
83673928,18272,0
83683928,8672,0
83693928,18304,0
83703928,8800,0
83713928,18576,0
83723928,8880,0
83733928,18736,0
83743927,8992,0
83753928,19136,0
83763927,9312,0
83773927,19136,0
83783928,9360,0
83793927,19472,0
83803928,9792,0
83813927,19888,0
83823928,10208,0
83833928,19808,0
83843928,9168,0
83853928,19152,0
83863927,9136,0
83873928,19072,0
83883927,9040,0
83893927,18816,0
83903928,8896,0
83913928,18336,0
83923928,7520,0
83933927,20992,0
83943927,11504,0
83953927,20576,0
83963928,8640,0
83973928,16208,0
83983928,7616,0
83993927,18272,0
84003928,8336,0
84013928,18416,0
84023927,8656,0
84033928,18736,0
84043927,8240,0
84053927,17856,0
84063927,8064,0
84073928,17952,0
84083928,8128,0
84093927,18048,0
84103927,8208,0
84113928,18144,0
84123928,8384,0
84133928,18416,0
84143927,8704,0
84153928,18672,0
84163927,8896,0
84173927,18912,0
84183928,8608,0
84193928,18608,0
84203928,8704,0
84213927,18496,0
84223928,8160,0
84233928,17968,0
84243928,7680,0
84253928,17712,0
84263928,7568,0
84273928,17760,0
84283928,7584,0
84293928,17776,0
84303928,7520,0
84313927,17552,0
84323927,7648,0
84333928,17520,0
84343928,7952,0
84353928,18400,0
84363928,8272,0
84373928,17568,0
84383928,7472,0
84393927,17584,0
84403928,7360,0
84413928,17360,0
84423928,7680,0
84433927,17824,0
84443928,7648,0
84453927,18352,0
84463927,8128,0
84473928,18240,0
84483928,8032,0
84493928,18400,0
84503927,8288,0
84513928,18912,0
84523928,8608,0
84533928,18608,0
84543928,7984,0
84553928,18064,0
84563928,8144,0
84573928,18480,0
84583928,7968,0
84593928,17936,0
84603927,7664,0
84613927,16720,0
84623928,7888,0
84633927,23504,0
84643928,10704,0
84653928,20096,0
84663927,5936,0
84673927,16528,0
84683928,7360,0
84693927,17888,0
84703927,7520,0
84713928,17504,0
84723927,7680,0
84733927,18000,0
84743928,7744,0
84753928,17952,0
84763928,7744,0
84773927,18128,0
84783928,7824,0
84793927,18656,0
84803928,8672,0
84813928,19424,0
84823928,8768,0
84833928,19344,0
84843928,8720,0
84853927,18992,0
84863927,8192,0
84873927,18816,0
84883928,7808,0
84893927,18352,0
84903927,7664,0
84913927,18208,0
84923928,7936,0
84933928,18304,0
84943928,6944,0
84953928,17712,0
84963928,7248,0
84973928,18128,0
84983927,7792,0
84993927,18224,0
85003928,7088,0
85013928,18560,0
85023928,7744,0
85033928,18656,0
85043927,7104,0
85053928,17632,0
85063928,6752,0
85073928,17632,0
85083928,7376,0
85093928,18352,0
85103928,7584,0
85113928,17904,0
85123928,7264,0
85133928,18320,0
85143927,6768,0
85153927,17536,0
85163928,7424,0
85173928,18784,0
85183928,7344,0
85193928,18048,0
85203927,7120,0
85213928,18096,0
85223928,7472,0
85233928,17808,0
85243928,6944,0
85253928,18240,0
85263927,7184,0
85273928,18496,0
85283928,7536,0
85293927,18608,0
85303927,7504,0
85313928,17888,0
85323928,5888,0
85333928,21360,0
85343928,11872,0
85353927,20848,0
85363928,6816,0
85373928,16192,0
85383928,6672,0
85393928,18432,0
85403928,7584,0
85413928,19280,0
85423928,8016,0
85433927,19280,0
85443928,8016,0
85453927,18800,0
85463928,7584,0
85473928,18848,0
85483928,7104,0
85493928,19328,0
85503928,8032,0
85513927,19136,0
85523928,7600,0
85533928,18896,0
85543928,7312,0
85553928,18688,0
85563928,7248,0
85573928,19024,0
85583928,7600,0
85593928,18736,0
85603928,7280,0
85613928,18368,0
85623928,6960,0
85633927,18448,0
85643928,6976,0
85653928,18736,0
85663927,7072,0
85673928,18816,0
85683928,7488,0
85693927,18816,0
85703928,6960,0
85713928,17888,0
85723928,7056,0
85733928,18720,0
85743927,7360,0
85753927,19696,0
85763928,8000,0
85773927,19024,0
85783927,7504,0
85793927,19152,0
85803928,7248,0
85813928,18864,0
85823928,7360,0
85833927,18704,0
85843928,7040,0
85853928,18960,0
85863927,7280,0
85873927,19376,0
85883928,7376,0
85893927,19376,0
85903928,7760,0
85913927,19456,0
85923928,8272,0
85933928,20144,0
85943927,7024,0
85953928,17504,0
85963928,5840,0
85973928,17280,0
85983928,5920,0
85993928,17072,0
86003928,6320,0
86013928,17456,0
86023927,4400,0
86033928,17216,0
86043927,10768,0
86053928,20080,0
86063927,7184,0
86073928,15056,0
86083928,4672,0
86093928,17088,0
86103928,5952,0
86113927,17040,0
86123928,5616,0
86133927,17440,0
86143928,6064,0
86153927,17216,0
86163927,5968,0
86173928,17696,0
86183927,6768,0
86193928,18192,0
86203928,7424,0
86213927,18880,0
86223927,7152,0
86233928,18304,0
86243927,7056,0
86253928,18112,0
86263928,6976,0
86273928,18944,0
86283928,7680,0
86293928,18640,0
86303928,7920,0
86313927,18960,0
86323927,7520,0
86333928,19120,0
86343928,7856,0
86353927,18896,0
86363927,7408,0
86373928,18320,0
86383928,7328,0
86393927,18784,0
86403927,7104,0
86413928,18144,0
86423928,7424,0
86433928,18704,0
86443928,7568,0
86453928,19088,0
86463927,7776,0
86473927,18688,0
86483927,7600,0
86493928,18592,0
86503927,7280,0
86513928,18960,0
86523927,7488,0
86533928,19792,0
86543928,8544,0
86553927,20288,0
86563927,8592,0
86573928,19920,0
86583927,8656,0
86593927,20304,0
86603927,8416,0
86613928,20192,0
86623928,8784,0
86633927,19744,0
86643928,8736,0
86653928,20304,0
86663928,8576,0
86673927,19840,0
86683928,8576,0
86693928,19376,0
86703928,8032,0
86713928,19104,0
86723928,7776,0
86733928,19328,0
86743927,6608,0
86753928,18720,0
86763927,12928,0
86773928,22512,0
86783927,9856,0
86793928,17584,0
86803928,6240,0
86813927,18880,0
86823928,8240,0
86833927,19568,0
86843928,8096,0
86853928,20000,0
86863927,8544,0
86873928,20720,0
86883927,9248,0
86893928,20704,0
86903927,8848,0
86913927,20496,0
86923928,8560,0
86933928,19984,0
86943928,8096,0
86953928,19920,0
86963927,7920,0
86973928,19168,0
86983927,8192,0
86993928,19840,0
87003927,8256,0
87013927,19696,0
87023928,7952,0
87033928,20112,0
87043927,7760,0
87053928,18448,0
87063928,6864,0
87073928,18080,0
87083927,6496,0
87093927,18096,0
87103928,6832,0
87113927,17840,0
87123928,6448,0
87133927,18208,0
87143927,6672,0
87153927,18096,0
87163927,6976,0
87173928,18368,0
87183928,6784,0
87193927,18256,0
87203928,7120,0
87213928,18304,0
87223927,6832,0
87233927,18448,0
87243928,7088,0
87253928,18240,0
87263928,6720,0
87273928,17696,0
87283928,6448,0
87293928,18256,0
87303927,7392,0
87313928,19344,0
87323927,8128,0
87333928,18800,0
87343928,7008,0
87353927,18368,0
87363928,6992,0
87373928,19024,0
87383928,7568,0
87393928,19168,0
87403927,7648,0
87413927,19056,0
87423928,6144,0
87433927,18656,0
87443927,12528,0
87453927,22096,0
87463928,8736,0
87473927,16816,0
87483928,5504,0
87493927,18512,0
87503928,7296,0
87513927,19184,0
87523928,7632,0
87533927,19136,0
87543928,7424,0
87553927,19024,0
87563927,7792,0
87573927,19680,0
87583928,8224,0
87593928,19728,0
87603927,7984,0
87613927,20496,0
87623927,8432,0
87633928,21216,0
87643928,8720,0
87653928,21168,0
87663928,8704,0
87673928,20528,0
87683927,8752,0
87693927,20832,0
87703928,8400,0
87713928,20160,0
87723928,7504,0
87733928,19296,0
87743927,7216,0
87753927,19344,0
87763928,7440,0
87773928,18880,0
87783927,7200,0
87793927,19392,0
87803928,7056,0
87813928,19280,0
87823927,7024,0
87833928,18736,0
87843927,7024,0
87853928,19600,0
87863927,7120,0
87873928,19120,0
87883927,6672,0
87893928,18864,0
87903928,6352,0
87913928,18528,0
87923928,6560,0
87933928,18176,0
87943928,6320,0
87953927,18512,0
87963928,6896,0
87973927,18720,0
87983927,6640,0
87993927,18864,0
88003927,6416,0
88013928,18464,0
88023928,6208,0
88033927,18400,0
88043927,5680,0
88053927,17664,0
88063928,4848,0
88073927,15584,0
88083928,7888,0
88093927,21200,0
88103928,7632,0
88113927,16448,0
88123927,2832,0
88133928,15856,0
88143927,5184,0
88153928,17728,0
88163928,5984,0
88173927,17488,0
88183928,5648,0
88193928,17632,0
88203928,5648,0
88213927,17184,0
88223928,5792,0
88233927,18000,0
88243928,6432,0
88253928,19056,0
88263927,6608,0
88273928,19056,0
88283927,6560,0
88293928,18320,0
88303927,6496,0
88313927,19680,0
88323928,7296,0
88333928,20960,0
88343928,7904,0
88353928,19472,0
88363928,7424,0
88373928,19616,0
88383928,7072,0
88393927,18736,0
88403927,6576,0
88413928,19104,0
88423927,6640,0
88433927,17968,0
88443927,5824,0
88453928,17856,0
88463927,5920,0
88473928,18528,0
88483928,6512,0
88493928,19248,0
88503928,6976,0
88513927,18992,0
88523927,6240,0
88533928,18192,0
88543927,6048,0
88553928,18288,0
88563927,6256,0
88573928,18880,0
88583928,7184,0
88593928,19312,0
88603927,6608,0
88613928,19360,0
88623928,7216,0
88633928,19152,0
88643928,6528,0
88653928,18752,0
88663928,6976,0
88673928,18480,0
88683928,6288,0
88693927,18064,0
88703928,5712,0
88713928,17616,0
88723928,4560,0
88733927,17600,0
88743928,11040,0
88753927,21104,0
88763927,8240,0
88773928,17008,0
88783928,5056,0
88793928,18176,0
88803928,6640,0
88813927,18960,0
88823928,6848,0
88833928,19776,0
88843927,7280,0
88853928,19792,0
88863928,7840,0
88873927,20400,0
88883928,7680,0
88893928,19600,0
88903928,7776,0
88913928,20128,0
88923928,7936,0
88933928,20400,0
88943928,8192,0
88953928,20592,0
88963927,7904,0
88973927,20592,0
88983927,8320,0
88993928,20352,0
89003928,7744,0
89013928,19520,0
89023928,7504,0
89033928,19920,0
89043927,7424,0
89053928,20784,0
89063927,7408,0
89073928,18016,0
89083928,6400,0
89093927,18208,0
89103928,6368,0
89113928,18592,0
89123928,6896,0
89133928,19328,0
89143927,7376,0
89153928,19216,0
89163928,7040,0
89173928,18720,0
89183928,7008,0
89193927,18784,0
89203927,7392,0
89213928,19200,0
89223927,7232,0
89233928,19392,0
89243928,7136,0
89253928,19008,0
89263928,7408,0
89273928,19072,0
89283928,7216,0
89293928,19152,0
89303927,7552,0
89313927,19888,0
89323927,8320,0
89333928,20080,0
89343928,8000,0
89353927,19360,0
89363928,7472,0
89373928,19936,0
89383928,8000,0
89393928,19408,0
89403928,7328,0
89413927,18944,0
89423928,6592,0
89433928,17248,0
89443928,7216,0
89453928,23776,0
89463927,9808,0
89473927,19776,0
89483928,4560,0
89493928,17680,0
89503928,6880,0
89513928,19392,0
89523927,7408,0
89533927,18800,0
89543928,7056,0
89553928,19184,0
89563928,7424,0
89573927,19888,0
89583928,7328,0
89593927,19408,0
89603928,7600,0
89613928,19840,0
89623927,7600,0
89633927,19856,0
89643928,8032,0
89653927,20656,0
89663927,8624,0
89673928,21152,0
89683928,8432,0
89693928,20608,0
89703927,8160,0
89713927,19984,0
89723927,7616,0
89733928,18992,0
89743928,7664,0
89753927,19200,0
89763928,6640,0
89773928,19904,0
89783928,7696,0
89793928,19232,0
89803927,7264,0
89813927,20080,0
89823928,7776,0
89833928,19552,0
89843928,7760,0
89853928,20080,0
89863928,7632,0
89873927,19680,0
89883928,7392,0
89893928,18736,0
89903928,6800,0
89913928,18048,0
89923928,6848,0
89933927,18320,0
89943927,6320,0
89953928,18400,0
89963928,6688,0
89973927,19376,0
89983928,7568,0
89993928,20448,0
90003928,8480,0
90013928,21104,0
90023928,8128,0
90033927,20704,0
90043928,8048,0
90053927,20288,0
90063928,7968,0
90073928,21952,0
90083927,8896,0
90093928,20832,0
90103927,7776,0
90113928,20560,0
90123928,8080,0
90133928,20720,0
90143928,8048,0
90153928,20576,0
90163927,7936,0
90173927,22016,0
90183927,6336,0
90193928,20752,0
90203927,10800,0
90213928,21168,0
90223928,8336,0
90233928,16832,0
90243928,4800,0
90253928,18608,0
90263927,6704,0
90273927,19152,0
90283928,6320,0
90293927,18848,0
90303928,6400,0
90313928,18816,0
90323928,6720,0
90333928,18032,0
90343927,6320,0
90353928,18176,0
90363928,6224,0
90373927,18480,0
90383928,6544,0
90393928,19104,0
90403927,6912,0
90413928,18848,0
90423928,7056,0
90433928,19248,0
90443928,7152,0
90453928,19856,0
90463928,7056,0
90473927,18560,0
90483928,6480,0
90493928,18688,0
90503928,6368,0
90513928,18672,0
90523928,6480,0
90533928,18208,0
90543928,6160,0
90553928,18416,0
90563928,6112,0
90573928,18608,0
90583928,6624,0
90593928,18720,0
90603927,6528,0
90613928,18192,0
90623928,6144,0
90633928,17952,0
90643927,5872,0
90653927,17504,0
90663928,6096,0
90673928,18064,0
90683928,5936,0
90693928,17600,0
90703927,5808,0
90713927,17824,0
90723927,6480,0
90733927,18592,0
90743927,6416,0
90753928,18144,0
90763928,6544,0
90773927,18832,0
90783927,7184,0
90793928,19216,0
90803928,7136,0
90813927,18928,0
90823928,7120,0
90833927,18896,0
90843928,6704,0
90853928,18912,0
90863927,7264,0
90873928,19696,0
90883928,7840,0
90893928,19936,0
90903927,6592,0
90913927,20400,0
90923928,11248,0
90933927,22128,0
90943928,8768,0
90953928,17520,0
90963927,5904,0
90973927,19152,0
90983928,7200,0
90993927,19632,0
91003927,7312,0
91013927,19312,0
91023927,7520,0
91033928,19056,0
91043927,7104,0
91053928,19168,0
91063928,7376,0
91073928,19584,0
91083928,7312,0
91093928,18960,0
91103927,6976,0
91113928,18912,0
91123927,7312,0
91133928,19248,0
91143928,7776,0
91153927,20032,0
91163928,8400,0
91173928,20528,0
91183927,8064,0
91193928,19888,0
91203928,7600,0
91213928,19568,0
91223927,7392,0
91233928,19536,0
91243928,7680,0
91253928,19984,0
91263928,7440,0
91273928,19408,0
91283928,7328,0
91293928,19600,0
91303927,7552,0
91313927,19792,0
91323928,7440,0
91333928,20096,0
91343928,7920,0
91353927,20512,0
91363927,7952,0
91373928,20304,0
91383927,8160,0
91393927,20672,0
91403928,7936,0
91413928,19728,0
91423928,7040,0
91433928,19008,0
